Scenario,Horizon,RMSE,MAE,Features,Timestamp
1_Baseline_Only,16,0.014500048681722869,0.008564879186451435,9,2026-02-18T19:02:48.398734
1_Baseline_Only,16,0.01134362306463075,0.0069497814401984215,9,2026-02-18T19:05:07.881630
2_Baseline+Macro,16,0.012991805490294328,0.008048121817409992,14,2026-02-18T19:13:38.933301
2_Baseline+Macro,16,0.01206511978375106,0.007743545342236757,14,2026-02-18T19:15:56.007549
3_Baseline+Macro+Risk,16,0.011012392121332863,0.006921851076185703,19,2026-02-18T19:23:02.759080
3_Baseline+Macro+Risk,16,0.010940861996836823,0.006850594654679298,19,2026-02-18T19:25:17.364380
4_Baseline+Macro+Risk+AIHardware,16,0.010939720087615639,0.007213464006781578,23,2026-02-18T19:34:45.140017
4_Baseline+Macro+Risk+AIHardware,16,0.010633112298443466,0.0069367894902825356,23,2026-02-18T19:37:03.301319
5_Baseline+Macro+Risk+AIHardware+Energy,16,0.012716931724287428,0.007825946435332298,27,2026-02-18T21:56:18.996012
5_Baseline+Macro+Risk+AIHardware+Energy,16,0.010685378328556651,0.0073912679217755795,27,2026-02-18T21:58:38.370878
6_All_NoNews,16,0.010725485214848292,0.007288545835763216,34,2026-02-18T22:07:28.620201
6_All_NoNews,16,0.01040414849467408,0.007087267003953457,34,2026-02-18T22:09:45.690965
7_All_Features,16,0.01053108240508541,0.007343575824052095,38,2026-02-18T22:20:24.980751
7_All_Features,16,0.010373357484350426,0.007177218794822693,38,2026-02-18T22:22:29.271789
